match_id,radiant_win,first_blood_time,dire_score,radiant_score,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,throw,comeback,loss,win
3746813031,False,0,49,42,47,3,1572,4,,9178,,
3746893613,False,230,30,10,31,0,560,0,,0,,
3746945388,False,0,23,20,63,11,1956,1540,,7134,,
3747006714,False,81,38,21,63,51,1828,260,,2421,,
3747041770,True,222,25,22,63,63,896,1844,7392,,1868,
3747126700,True,130,6,24,0,63,512,1983,0,,14915,
3747183006,True,298,27,35,0,63,0,1830,10715,,2653,
3747238582,False,0,38,26,63,3,2038,4,,351,,
3747320300,False,134,43,22,63,50,1824,1792,,6882,,
3747355056,True,32,11,46,2,63,0,1846,0,,38148,
3747471332,False,84,25,28,51,15,1792,54,,5358,,
3748753530,False,150,21,5,63,11,2044,1542,,0,,
3748838786,True,169,6,24,63,63,1968,1983,0,,11403,
3748928380,False,78,31,10,63,48,1982,1792,,0,,
3749024236,False,199,30,23,63,0,1828,1536,,5966,,
3749130082,True,96,10,27,48,63,448,1983,0,,28956,
3750244771,True,139,8,30,63,63,1824,1847,84,,15696,
3750343882,True,165,29,23,50,47,1920,1572,8372,,1262,
3750461499,False,235,30,14,63,63,1972,1792,,174,,
3750736836,False,127,30,14,63,63,1968,1572,,7657,,
3750844055,True,73,20,25,59,63,1792,1855,378,,18422,
3750946886,False,107,31,27,12,35,32,4,,6896,,
3751104948,True,90,6,26,3,63,1540,1983,0,,16590,
3751180345,True,377,24,34,48,63,0,1974,270,,22679,
3752068728,False,202,30,20,63,48,1844,1792,,2016,,
3752174849,False,155,43,8,63,3,1983,1536,,91,,
3752273869,True,153,33,31,0,63,0,1974,1597,,20758,
3752505318,True,0,9,25,48,63,1792,1982,-360,,24275,
3752602284,True,186,9,27,63,63,1956,1974,0,,17934,
3752683273,False,219,24,10,63,63,2038,1846,,794,,
3752758474,True,101,15,38,0,63,0,1983,751,,27599,
3763492629,True,131,19,34,48,63,1792,1844,1475,,14703,
3763575506,True,152,26,47,15,63,1542,1840,4138,,14433,
3763711443,True,77,18,27,12,63,1536,1798,1058,,22832,
3763798613,False,73,22,21,63,3,1572,1542,,11875,,
3763905209,True,111,15,31,0,63,0,1830,1312,,23609,
3764049023,False,110,18,6,63,63,1974,1798,,720,,
3764167820,False,141,24,19,51,35,1796,1540,,704,,
3764298763,True,61,17,25,49,63,1920,1983,252,,14834,
3765204718,True,76,23,45,19,60,4,1824,4609,,7927,
3765289061,True,211,13,23,0,63,0,1846,25,,13007,
3765370823,True,76,49,44,15,3,1568,1536,12420,,688,
3765492612,True,197,5,35,0,63,1536,1968,403,,17415,
3765600224,False,0,28,11,63,60,1846,1792,,351,,
3765708885,True,31,36,22,48,63,0,1798,7779,,4729,
3765833999,True,103,19,25,48,63,1024,1828,1626,,19220,
3765946065,True,24,11,29,15,63,1588,1846,0,,13561,
3766681094,True,309,19,27,15,63,1540,1982,0,,16602,
3766752458,True,123,20,27,48,63,896,1846,0,,22026,
3766823904,False,131,37,22,63,0,2038,0,,0,,
3766915400,True,128,27,43,0,47,0,1574,7859,,17684,
3767025456,False,284,36,26,63,51,1846,772,,650,,
3767136890,True,313,21,26,51,15,454,512,33857,,0,
3767287818,True,8,11,14,12,63,1568,1983,410,,8976,
3767358224,True,174,10,27,0,63,0,1855,37,,22745,
3768183941,True,69,6,28,50,63,1920,1983,256,,11177,
3768245969,False,281,24,19,63,51,1572,390,,10564,,
3768329633,False,207,26,25,63,0,1828,0,,3239,,
3768435440,False,8,33,26,61,0,1840,0,,8585,,
3768548189,True,2,22,39,0,63,1536,1828,0,,20725,
3768665017,True,420,25,28,0,51,0,260,10632,,5649,
3768860674,True,57,28,28,51,59,260,1792,3436,,7275,
3768972838,False,125,24,9,63,3,1972,6,,0,,
3769072510,False,55,25,20,63,3,1828,6,,1617,,
3771606255,True,91,9,40,47,63,1572,1975,-100,,24403,
3771700231,False,0,31,18,63,0,1588,0,,1056,,
3771806416,False,101,26,6,63,48,1852,256,,0,,
3771946947,False,112,25,19,63,3,1846,4,,2376,,
3772078989,True,0,14,26,3,63,1536,1847,360,,13839,
3772237673,True,73,8,24,63,63,1828,1846,5315,,7580,
3772339381,True,117,0,27,0,63,0,1983,0,,26101,
3772435351,True,161,13,30,3,63,0,1844,143,,22916,
3773436674,True,118,14,33,0,59,0,1798,4270,,24610,
3773545008,True,102,12,32,58,63,1792,1974,674,,17158,
3773664713,False,155,25,16,63,3,1572,1542,,6396,,
3773771562,False,218,25,24,63,51,1830,260,,6157,,
3773950827,True,123,16,25,50,63,1792,1846,0,,22561,
3774083100,True,161,22,24,3,63,1540,1982,1609,,10367,
3774178327,False,194,39,13,63,59,1830,1540,,141,,
3775730294,True,75,10,30,44,63,1536,1975,0,,20882,
3775825168,True,140,13,26,51,63,1540,1974,0,,18425,
3775933971,True,49,18,36,59,63,1798,1982,0,,14738,
3781456589,True,157,12,16,14,63,1568,2038,0,,10893,
3781496374,True,0,19,26,3,63,4,1798,5489,,8709,
3781569096,False,318,28,13,63,0,1846,1536,,313,,
3781636310,True,0,10,30,0,63,1536,1974,-373,,22539,
